lr_plus,lr_minus,theta_plus,theta_decay_tau,inh_penalty,Accuracy (%),Dead Neurons
0.01,0.0001,0.05,100000.0,120.0,62.8,306
0.01,0.0001,0.05,100000.0,200.0,65.27,262
0.01,0.0001,0.05,10000000.0,120.0,57.769999999999996,292
0.01,0.0001,0.05,10000000.0,200.0,64.46,294
0.01,0.0001,0.05,1000000000.0,120.0,64.92,292
0.01,0.0001,0.05,1000000000.0,200.0,58.51,286
0.01,0.0001,0.1,100000.0,120.0,60.260000000000005,283
0.01,0.0001,0.1,100000.0,200.0,71.27,277
0.01,0.0001,0.1,10000000.0,120.0,62.82,276
0.01,0.0001,0.1,10000000.0,200.0,70.44,271
0.01,0.0001,0.1,1000000000.0,120.0,68.76,287
0.01,0.0001,0.1,1000000000.0,200.0,69.36,265
0.01,0.0001,0.5,100000.0,120.0,76.41,166
0.01,0.0001,0.5,100000.0,200.0,47.21,256
0.01,0.0001,0.5,10000000.0,120.0,43.71,296
0.01,0.0001,0.5,10000000.0,200.0,23.49,385
0.01,0.0001,0.5,1000000000.0,120.0,64.5,92
0.01,0.0001,0.5,1000000000.0,200.0,59.419999999999995,99
0.01,0.003,0.05,100000.0,120.0,65.69,301
0.01,0.003,0.05,100000.0,200.0,67.97999999999999,296
0.01,0.003,0.05,10000000.0,120.0,59.870000000000005,301
0.01,0.003,0.05,10000000.0,200.0,68.83,293
0.01,0.003,0.05,1000000000.0,120.0,61.28,292
0.01,0.003,0.05,1000000000.0,200.0,63.24999999999999,302
0.01,0.003,0.1,100000.0,120.0,67.62,286
0.01,0.003,0.1,100000.0,200.0,70.30999999999999,281
0.01,0.003,0.1,10000000.0,120.0,72.27,281
0.01,0.003,0.1,10000000.0,200.0,69.94,285
0.01,0.003,0.1,1000000000.0,120.0,68.46,285
0.01,0.003,0.1,1000000000.0,200.0,68.91000000000001,282
0.01,0.003,0.5,100000.0,120.0,67.21000000000001,160
0.01,0.003,0.5,100000.0,200.0,65.61,179
0.01,0.003,0.5,10000000.0,120.0,61.67,163
0.01,0.003,0.5,10000000.0,200.0,69.85,89
0.01,0.003,0.5,1000000000.0,120.0,75.02,55
0.01,0.003,0.5,1000000000.0,200.0,20.830000000000002,356
0.03,0.0001,0.05,100000.0,120.0,60.529999999999994,300
0.03,0.0001,0.05,100000.0,200.0,55.67999999999999,166
0.03,0.0001,0.05,10000000.0,120.0,58.17,290
0.03,0.0001,0.05,10000000.0,200.0,65.18,188
0.03,0.0001,0.05,1000000000.0,120.0,56.879999999999995,306
0.03,0.0001,0.05,1000000000.0,200.0,56.56,187
0.03,0.0001,0.1,100000.0,120.0,65.53999999999999,305
0.03,0.0001,0.1,100000.0,200.0,60.79,221
0.03,0.0001,0.1,10000000.0,120.0,65.88000000000001,296
0.03,0.0001,0.1,10000000.0,200.0,66.46,241
0.03,0.0001,0.1,1000000000.0,120.0,63.29,298
0.03,0.0001,0.1,1000000000.0,200.0,64.86,214
0.03,0.0001,0.5,100000.0,120.0,72.74000000000001,178
0.03,0.0001,0.5,100000.0,200.0,66.5,217
0.03,0.0001,0.5,10000000.0,120.0,36.39,211
0.03,0.0001,0.5,10000000.0,200.0,47.22,197
0.03,0.0001,0.5,1000000000.0,120.0,47.73,250
0.03,0.0001,0.5,1000000000.0,200.0,28.52,236
0.03,0.003,0.05,100000.0,120.0,61.77,306
0.03,0.003,0.05,100000.0,200.0,57.45,177
0.03,0.003,0.05,10000000.0,120.0,61.839999999999996,312
0.03,0.003,0.05,10000000.0,200.0,56.61000000000001,200
0.03,0.003,0.05,1000000000.0,120.0,63.29,292
0.03,0.003,0.05,1000000000.0,200.0,59.550000000000004,235
0.03,0.003,0.1,100000.0,120.0,62.18,299
0.03,0.003,0.1,100000.0,200.0,64.58,318
0.03,0.003,0.1,10000000.0,120.0,64.14,287
0.03,0.003,0.1,10000000.0,200.0,63.27,253
0.03,0.003,0.1,1000000000.0,120.0,69.07,294
0.03,0.003,0.1,1000000000.0,200.0,65.13,245
0.03,0.003,0.5,100000.0,120.0,68.2,189
0.03,0.003,0.5,100000.0,200.0,70.55,212
0.03,0.003,0.5,10000000.0,120.0,60.0,118
0.03,0.003,0.5,10000000.0,200.0,32.25,289
0.03,0.003,0.5,1000000000.0,120.0,60.25,91
0.03,0.003,0.5,1000000000.0,200.0,30.0,283
