lr_plus,lr_minus,theta_plus,theta_decay_tau,inh_penalty,Accuracy (%),Dead Neurons
0.01,0.0001,0.05,100000.0,120.0,70.44,309
0.01,0.0001,0.05,100000.0,200.0,72.65,292
0.01,0.0001,0.05,10000000.0,120.0,65.35,304
0.01,0.0001,0.05,10000000.0,200.0,68.86,309
0.01,0.0001,0.05,1000000000.0,120.0,67.43,312
0.01,0.0001,0.05,1000000000.0,200.0,69.56,308
0.01,0.0001,0.1,100000.0,120.0,67.22,301
0.01,0.0001,0.1,100000.0,200.0,73.11999999999999,308
0.01,0.0001,0.1,10000000.0,120.0,71.95,301
0.01,0.0001,0.1,10000000.0,200.0,70.41,310
0.01,0.0001,0.1,1000000000.0,120.0,72.46000000000001,301
0.01,0.0001,0.1,1000000000.0,200.0,70.11,304
0.01,0.0001,0.5,100000.0,120.0,68.36,314
0.01,0.0001,0.5,100000.0,200.0,63.67,329
0.01,0.0001,0.5,10000000.0,120.0,66.47,332
0.01,0.0001,0.5,10000000.0,200.0,67.4,327
0.01,0.0001,0.5,1000000000.0,120.0,62.51,321
0.01,0.0001,0.5,1000000000.0,200.0,72.63,323
0.01,0.001,0.05,100000.0,120.0,71.39999999999999,312
0.01,0.001,0.05,100000.0,200.0,69.38,290
0.01,0.001,0.05,10000000.0,120.0,70.74000000000001,313
0.01,0.001,0.05,10000000.0,200.0,66.49000000000001,315
0.01,0.001,0.05,1000000000.0,120.0,69.34,313
0.01,0.001,0.05,1000000000.0,200.0,68.21000000000001,309
0.01,0.001,0.1,100000.0,120.0,71.41,310
0.01,0.001,0.1,100000.0,200.0,70.53,286
0.01,0.001,0.1,10000000.0,120.0,68.53,293
0.01,0.001,0.1,10000000.0,200.0,72.55,296
0.01,0.001,0.1,1000000000.0,120.0,67.25,313
0.01,0.001,0.1,1000000000.0,200.0,72.68,306
0.01,0.001,0.5,100000.0,120.0,70.77,327
0.01,0.001,0.5,100000.0,200.0,66.57,323
0.01,0.001,0.5,10000000.0,120.0,62.08,318
0.01,0.001,0.5,10000000.0,200.0,66.91,327
0.01,0.001,0.5,1000000000.0,120.0,66.89,334
0.01,0.001,0.5,1000000000.0,200.0,69.08,328
0.03,0.0001,0.05,100000.0,120.0,67.19000000000001,328
0.03,0.0001,0.05,100000.0,200.0,65.03,330
0.03,0.0001,0.05,10000000.0,120.0,62.029999999999994,353
0.03,0.0001,0.05,10000000.0,200.0,68.60000000000001,319
0.03,0.0001,0.05,1000000000.0,120.0,66.14999999999999,339
0.03,0.0001,0.05,1000000000.0,200.0,64.47,325
0.03,0.0001,0.1,100000.0,120.0,65.94,320
0.03,0.0001,0.1,100000.0,200.0,67.96,337
0.03,0.0001,0.1,10000000.0,120.0,62.870000000000005,329
0.03,0.0001,0.1,10000000.0,200.0,66.41,344
0.03,0.0001,0.1,1000000000.0,120.0,68.17999999999999,336
0.03,0.0001,0.1,1000000000.0,200.0,68.35,315
0.03,0.0001,0.5,100000.0,120.0,64.03,325
0.03,0.0001,0.5,100000.0,200.0,69.41000000000001,324
0.03,0.0001,0.5,10000000.0,120.0,63.29,336
0.03,0.0001,0.5,10000000.0,200.0,68.75,330
0.03,0.0001,0.5,1000000000.0,120.0,60.85,315
0.03,0.0001,0.5,1000000000.0,200.0,65.47,307
0.03,0.001,0.05,100000.0,120.0,64.22,324
0.03,0.001,0.05,100000.0,200.0,63.46000000000001,356
0.03,0.001,0.05,10000000.0,120.0,62.949999999999996,336
0.03,0.001,0.05,10000000.0,200.0,69.64,331
0.03,0.001,0.05,1000000000.0,120.0,62.050000000000004,339
0.03,0.001,0.05,1000000000.0,200.0,65.53,335
0.03,0.001,0.1,100000.0,120.0,70.6,333
0.03,0.001,0.1,100000.0,200.0,66.08000000000001,335
0.03,0.001,0.1,10000000.0,120.0,59.260000000000005,317
0.03,0.001,0.1,10000000.0,200.0,69.32000000000001,326
0.03,0.001,0.1,1000000000.0,120.0,67.75,343
0.03,0.001,0.1,1000000000.0,200.0,66.83,324
0.03,0.001,0.5,100000.0,120.0,66.96,327
0.03,0.001,0.5,100000.0,200.0,64.38000000000001,321
0.03,0.001,0.5,10000000.0,120.0,67.85,333
0.03,0.001,0.5,10000000.0,200.0,68.46,343
0.03,0.001,0.5,1000000000.0,120.0,65.39,325
0.03,0.001,0.5,1000000000.0,200.0,64.27000000000001,326
